company_name,discounts_and_bundles_url,acp,customer_support_url,customer_support_phone,network_management_url,privacy_policy_url,fcc_id,data_service_id,data_service_name,fixed_or_mobile,data_service_price,billing_frequency_in_months,introductory_period_in_months,introductory_price_per_month,contract_duration,contract_url,monthly_fee_name_1,monthly_fee_price_1,monthly_fee_name_2,monthly_fee_price_2,one_time_fee_name_1,one_time_fee_price_1,early_termination_fee,dl_speed_in_kbps,ul_speed_in_kbps,latency_in_ms,data_included_in_monthly_price,overage_fee,overage_data_amount
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,8,Community Connect,Fixed,49.95,1,18,30,36,https://fontsinuse.com/,,,,,,,,100000,100000,10,10,,
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,5,Home Basic,Fixed,29.95,1,,,,,,,,,,,,5000,1500,10,50,10,5
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,6,Home Plus,Fixed,34.95,1,4,15,12,https://fontsinuse.com/,,,,,,,,7500,1500,10,10,,
Greystar,https://css-tricks.com/,Yes,https://dribbble.com/shots/popular,555-555-1234,https://www.omglinux.com/,https://99designs.ca/,12345,51,Northern Neck 100/100MBPS Fiber,Fixed,74.95,1,,,,https://alistapart.com/,,,,,,,,100000,100000,15,,,
Live Oak Fiber,https://www.smashingmagazine.com/,No,https://www.wired.com/,555-555-5678,https://www.dezeen.com/,https://design-milk.com/,65489,51,Northern Neck 100/100MBPS Fiber,Fixed,74.95,1,,,,https://www.behance.net/blog,Longer-distance fiber routing,9.95,Moon phase adjustment,25,Technician visit,d50,,100000,100000,25,,,
Live Oak Fiber,https://www.smashingmagazine.com/,No,https://www.wired.com/,555-555-5678,https://www.dezeen.com/,https://design-milk.com/,65489,10,500x500,Fixed,99.95,1,3,80.95,12,https://www.behance.net/blog,,,,,,,5.3,500000,500000,25,,$10.00,
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,51,Northern Neck 100/100MBPS Fiber,Fixed,$74.95,1,6,60,24,https://fontsinuse.com/,,,,,,,,100000,100000,10,10,,
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,7,Business,Fixed,84.95,1,,,24,https://fontsinuse.com/,,,,,,,$120.00,15000,1500,10,,,
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,8,Community Connect,Fixed,49.95,1,18,30,36,https://fontsinuse.com/,,,,,,,,100000,100000,10,10,,
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,5,Home Basic,Fixed,29.95,1,,,,,,,,,,,,5000,1500,10,50,10,5
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,6,Home Plus,Fixed,34.95,1,4,15,12,https://fontsinuse.com/,,,,,,,,7500,1500,10,10,,
Greystar,https://css-tricks.com/,Yes,https://dribbble.com/shots/popular,555-555-1234,https://www.omglinux.com/,https://99designs.ca/,12345,51,Northern Neck 100/100MBPS Fiber,Fixed,74.95,1,,,,https://alistapart.com/,,,,,,,,100000,100000,15,,,
Live Oak Fiber,https://www.smashingmagazine.com/,No,https://www.wired.com/,555-555-5678,https://www.dezeen.com/,https://design-milk.com/,65489,51,Northern Neck 100/100MBPS Fiber,Fixed,74.95,1,,,,https://www.behance.net/blog,Longer-distance fiber routing,9.95,Moon phase adjustment,25,Technician visit,d50,,100000,100000,25,,,
Live Oak Fiber,https://www.smashingmagazine.com/,No,https://www.wired.com/,555-555-5678,https://www.dezeen.com/,https://design-milk.com/,65489,10,500x500,Fixed,99.95,1,3,80.95,12,https://www.behance.net/blog,,,,,,,5.3,500000,500000,25,,$10.00,
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,51,Northern Neck 100/100MBPS Fiber,Fixed,$74.95,1,6,60,24,https://fontsinuse.com/,,,,,,,,100000,100000,10,10,,
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,7,Business,Fixed,84.95,1,,,24,https://fontsinuse.com/,,,,,,,$120.00,15000,1500,10,,,
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,8,Community Connect,Fixed,49.95,1,18,30,36,https://fontsinuse.com/,,,,,,,,100000,100000,10,10,,
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,5,Home Basic,Fixed,29.95,1,,,,,,,,,,,,5000,1500,10,50,10,5
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,6,Home Plus,Fixed,34.95,1,4,15,12,https://fontsinuse.com/,,,,,,,,7500,1500,10,10,,
Greystar,https://css-tricks.com/,Yes,https://dribbble.com/shots/popular,555-555-1234,https://www.omglinux.com/,https://99designs.ca/,12345,51,Northern Neck 100/100MBPS Fiber,Fixed,74.95,1,,,,https://alistapart.com/,,,,,,,,100000,100000,15,,,
Live Oak Fiber,https://www.smashingmagazine.com/,No,https://www.wired.com/,555-555-5678,https://www.dezeen.com/,https://design-milk.com/,65489,51,Northern Neck 100/100MBPS Fiber,Fixed,74.95,1,,,,https://www.behance.net/blog,Longer-distance fiber routing,9.95,Moon phase adjustment,25,Technician visit,d50,,100000,100000,25,,,
Live Oak Fiber,https://www.smashingmagazine.com/,No,https://www.wired.com/,555-555-5678,https://www.dezeen.com/,https://design-milk.com/,65489,10,500x500,Fixed,99.95,1,3,80.95,12,https://www.behance.net/blog,,,,,,,5.3,500000,500000,25,,$10.00,
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,51,Northern Neck 100/100MBPS Fiber,Fixed,$74.95,1,6,60,24,https://fontsinuse.com/,,,,,,,,100000,100000,10,10,,
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,7,Business,Fixed,84.95,1,,,24,https://fontsinuse.com/,,,,,,,$120.00,15000,1500,10,,,
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,8,Community Connect,Fixed,49.95,1,18,30,36,https://fontsinuse.com/,,,,,,,,100000,100000,10,10,,
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,5,Home Basic,Fixed,29.95,1,,,,,,,,,,,,5000,1500,10,50,10,5
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,6,Home Plus,Fixed,34.95,1,4,15,12,https://fontsinuse.com/,,,,,,,,7500,1500,10,10,,
Greystar,https://css-tricks.com/,Yes,https://dribbble.com/shots/popular,555-555-1234,https://www.omglinux.com/,https://99designs.ca/,12345,51,Northern Neck 100/100MBPS Fiber,Fixed,74.95,1,,,,https://alistapart.com/,,,,,,,,100000,100000,15,,,
Live Oak Fiber,https://www.smashingmagazine.com/,No,https://www.wired.com/,555-555-5678,https://www.dezeen.com/,https://design-milk.com/,65489,51,Northern Neck 100/100MBPS Fiber,Fixed,74.95,1,,,,https://www.behance.net/blog,Longer-distance fiber routing,9.95,Moon phase adjustment,25,Technician visit,d50,,100000,100000,25,,,
Live Oak Fiber,https://www.smashingmagazine.com/,No,https://www.wired.com/,555-555-5678,https://www.dezeen.com/,https://design-milk.com/,65489,10,500x500,Fixed,99.95,1,3,80.95,12,https://www.behance.net/blog,,,,,,,5.3,500000,500000,25,,$10.00,
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,51,Northern Neck 100/100MBPS Fiber,Fixed,$74.95,1,6,60,24,https://fontsinuse.com/,,,,,,,,100000,100000,10,10,,
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,7,Business,Fixed,84.95,1,,,24,https://fontsinuse.com/,,,,,,,$120.00,15000,1500,10,,,
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,8,Community Connect,Fixed,49.95,1,18,30,36,https://fontsinuse.com/,,,,,,,,100000,100000,10,10,,
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,5,Home Basic,Fixed,29.95,1,,,,,,,,,,,,5000,1500,10,50,10,5
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,6,Home Plus,Fixed,34.95,1,4,15,12,https://fontsinuse.com/,,,,,,,,7500,1500,10,10,,
Greystar,https://css-tricks.com/,Yes,https://dribbble.com/shots/popular,555-555-1234,https://www.omglinux.com/,https://99designs.ca/,12345,51,Northern Neck 100/100MBPS Fiber,Fixed,74.95,1,,,,https://alistapart.com/,,,,,,,,100000,100000,15,,,
Live Oak Fiber,https://www.smashingmagazine.com/,No,https://www.wired.com/,555-555-5678,https://www.dezeen.com/,https://design-milk.com/,65489,51,Northern Neck 100/100MBPS Fiber,Fixed,74.95,1,,,,https://www.behance.net/blog,Longer-distance fiber routing,9.95,Moon phase adjustment,25,Technician visit,d50,,100000,100000,25,,,
Live Oak Fiber,https://www.smashingmagazine.com/,No,https://www.wired.com/,555-555-5678,https://www.dezeen.com/,https://design-milk.com/,65489,10,500x500,Fixed,99.95,1,3,80.95,12,https://www.behance.net/blog,,,,,,,5.3,500000,500000,25,,$10.00,
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,51,Northern Neck 100/100MBPS Fiber,Fixed,$74.95,1,6,60,24,https://fontsinuse.com/,,,,,,,,100000,100000,10,10,,
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,7,Business,Fixed,84.95,1,,,24,https://fontsinuse.com/,,,,,,,$120.00,15000,1500,10,,,
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,8,Community Connect,Fixed,49.95,1,18,30,36,https://fontsinuse.com/,,,,,,,,100000,100000,10,10,,
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,5,Home Basic,Fixed,29.95,1,,,,,,,,,,,,5000,1500,10,50,10,5
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,6,Home Plus,Fixed,34.95,1,4,15,12,https://fontsinuse.com/,,,,,,,,7500,1500,10,10,,
Greystar,https://css-tricks.com/,Yes,https://dribbble.com/shots/popular,555-555-1234,https://www.omglinux.com/,https://99designs.ca/,12345,51,Northern Neck 100/100MBPS Fiber,Fixed,74.95,1,,,,https://alistapart.com/,,,,,,,,100000,100000,15,,,
Live Oak Fiber,https://www.smashingmagazine.com/,No,https://www.wired.com/,555-555-5678,https://www.dezeen.com/,https://design-milk.com/,65489,51,Northern Neck 100/100MBPS Fiber,Fixed,74.95,1,,,,https://www.behance.net/blog,Longer-distance fiber routing,9.95,Moon phase adjustment,25,Technician visit,d50,,100000,100000,25,,,
Live Oak Fiber,https://www.smashingmagazine.com/,No,https://www.wired.com/,555-555-5678,https://www.dezeen.com/,https://design-milk.com/,65489,10,500x500,Fixed,99.95,1,3,80.95,12,https://www.behance.net/blog,,,,,,,5.3,500000,500000,25,,$10.00,
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,51,Northern Neck 100/100MBPS Fiber,Fixed,$74.95,1,6,60,24,https://fontsinuse.com/,,,,,,,,100000,100000,10,10,,
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,7,Business,Fixed,84.95,1,,,24,https://fontsinuse.com/,,,,,,,$120.00,15000,1500,10,,,
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,8,Community Connect,Fixed,49.95,1,18,30,36,https://fontsinuse.com/,,,,,,,,100000,100000,10,10,,
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,5,Home Basic,Fixed,29.95,1,,,,,,,,,,,,5000,1500,10,50,10,5
Moosebytes,https://arstechnica.com/,No,https://www.designernews.co/,555-555-9876,https://www.omgubuntu.co.uk/,https://www.designboom.com/,6544356,6,Home Plus,Fixed,34.95,1,4,15,12,https://fontsinuse.com/,,,,,,,,7500,1500,10,10,,
